Group,Item,Condition,Item_type,ConjunctType,ConjunctOrder,Agreement,Sentence,Verb
H,12,i,experimental,proper,postverbal,RA,Bulunduk geçen partide Melike ve ben.,açıkla-
I,12,j,experimental,pronoun,postverbal,FCA,Bulundun geçen partide sen ve ben.,açıkla-
J,12,k,experimental,pronoun,postverbal,LCA,Bulundum geçen partide sen ve ben.,açıkla-
K,12,l,experimental,pronoun,postverbal,RA,Bulunduk geçen partide sen ve ben.,açıkla-
A,13,a,experimental,proper,preverbal,FCA,Ben ve Ali günler öncesinden karar vermiştim.,karar ver-
B,13,b,experimental,proper,preverbal,LCA,Ben ve Ali günler öncesinden karar vermişti.,karar ver-
C,13,c,experimental,proper,preverbal,RA,Ben ve Ali günler öncesinden karar vermiştik.,karar ver-
D,13,d,experimental,pronoun,preverbal,FCA,Ben ve sen günler öncesinden karar vermiştim.,karar ver-
E,13,e,experimental,pronoun,preverbal,LCA,Ben ve sen günler öncesinden karar vermiştin.,karar ver-
F,13,f,experimental,pronoun,preverbal,RA,Ben ve sen günler öncesinden karar vermiştik.,karar ver-
G,13,g,experimental,proper,postverbal,FCA,Karar vermişti günler öncesinden Ali ve ben.,karar ver-
H,13,h,experimental,proper,postverbal,LCA,Karar vermiştim günler öncesinden Ali ve ben.,karar ver-
I,13,i,experimental,proper,postverbal,RA,Karar vermiştik günler öncesinden Ali ve ben.,karar ver-
J,13,j,experimental,pronoun,postverbal,FCA,Karar vermiştin günler öncesinden sen ve ben.,karar ver-
K,13,k,experimental,pronoun,postverbal,LCA,Karar vermiştim günler öncesinden sen ve ben.,karar ver-
L,13,l,experimental,pronoun,postverbal,RA,Karar vermiştik günler öncesinden sen ve ben.,karar ver-
B,14,a,experimental,proper,preverbal,FCA,Ben ve Mesut okulun bahçesinde beklemiştim.,bekle-
C,14,b,experimental,proper,preverbal,LCA,Ben ve Mesut okulun bahçesinde beklemişti.,bekle-
D,14,c,experimental,proper,preverbal,RA,Ben ve Mesut okulun bahçesinde beklemiştik.,bekle-
E,14,d,experimental,pronoun,preverbal,FCA,Ben ve sen okulun bahçesinde beklemiştim.,bekle-
F,14,e,experimental,pronoun,preverbal,LCA,Ben ve sen okulun bahçesinde beklemiştin.,bekle-
G,14,f,experimental,pronoun,preverbal,RA,Ben ve sen okulun bahçesinde beklemiştik.,bekle-
H,14,g,experimental,proper,postverbal,FCA,Beklemişti okulun bahçesinde Mesut ve ben.,bekle-
I,14,h,experimental,proper,postverbal,LCA,Beklemiştim okulun bahçesinde Mesut ve ben.,bekle-
J,14,i,experimental,proper,postverbal,RA,Beklemiştik okulun bahçesinde Mesut ve ben.,bekle-
K,14,j,experimental,pronoun,postverbal,FCA,Beklemiştin okulun bahçesinde sen ve ben.,bekle-
L,14,k,experimental,pronoun,postverbal,LCA,Beklemiştim okulun bahçesinde sen ve ben.,bekle-
A,14,l,experimental,pronoun,postverbal,RA,Beklemiştik okulun bahçesinde sen ve ben.,bekle-
C,15,a,experimental,proper,preverbal,FCA,Ben ve Fatma tüm sınavlarda gerildim.,geril-
D,15,b,experimental,proper,preverbal,LCA,Ben ve Fatma tüm sınavlarda gerildi.,geril-
E,15,c,experimental,proper,preverbal,RA,Ben ve Fatma tüm sınavlarda gerildik.,geril-
F,15,d,experimental,pronoun,preverbal,FCA,Ben ve sen tüm sınavlarda gerildim.,geril-
G,15,e,experimental,pronoun,preverbal,LCA,Ben ve sen tüm sınavlarda gerildin.,geril-
H,15,f,experimental,pronoun,preverbal,RA,Ben ve sen tüm sınavlarda gerildik.,geril-
I,15,g,experimental,proper,postverbal,FCA,Gerildi tüm sınavlarda Fatma ve ben.,geril-
J,15,h,experimental,proper,postverbal,LCA,Gerildim tüm sınavlarda Fatma ve ben.,geril-
K,15,i,experimental,proper,postverbal,RA,Gerildik tüm sınavlarda Fatma ve ben.,geril-
L,15,j,experimental,pronoun,postverbal,FCA,Gerildin tüm sınavlarda sen ve ben.,geril-
A,15,k,experimental,pronoun,postverbal,LCA,Gerildim tüm sınavlarda sen ve ben.,geril-
B,15,l,experimental,pronoun,postverbal,RA,Gerildik tüm sınavlarda sen ve ben.,geril-
D,16,a,experimental,proper,preverbal,FCA,Ben ve Fehime bu konuda üzülmüştüm.,üzül-
E,16,b,experimental,proper,preverbal,LCA,Ben ve Fehime bu konuda üzülmüştü.,üzül-
F,16,c,experimental,proper,preverbal,RA,Ben ve Fehime bu konuda üzülmüştük.,üzül-
G,16,d,experimental,pronoun,preverbal,FCA,Ben ve sen bu konuda üzülmüştüm.,üzül-
H,16,e,experimental,pronoun,preverbal,LCA,Ben ve sen bu konuda üzülmüştün.,üzül-
I,16,f,experimental,pronoun,preverbal,RA,Ben ve sen bu konuda üzülmüştük.,üzül-
J,16,g,experimental,proper,postverbal,FCA,Üzüldü bu konuda Fatma ve ben.,üzül-
K,16,h,experimental,proper,postverbal,LCA,Üzüldüm bu konuda Fatma ve ben.,üzül-
L,16,i,experimental,proper,postverbal,RA,Üzüldük bu konuda Fatma ve ben.,üzül-
A,16,j,experimental,pronoun,postverbal,FCA,Üzülmüştün bu konuda sen ve ben.,üzül-
B,16,k,experimental,pronoun,postverbal,LCA,Üzülmüştüm bu konuda sen ve ben.,üzül-
C,16,l,experimental,pronoun,postverbal,RA,Üzülmüştük bu konuda sen ve ben.,üzül-
E,17,a,experimental,proper,preverbal,FCA,Ben ve Uğur olay sırasında korkmuştum.,kork-
F,17,b,experimental,proper,preverbal,LCA,Ben ve Uğur olay sırasında korkmuştu.,kork-
G,17,c,experimental,proper,preverbal,RA,Ben ve Uğur olay sırasında korkmuştuk.,kork-
H,17,d,experimental,pronoun,preverbal,FCA,Ben ve sen olay sırasında korkmuştum.,kork-
I,17,e,experimental,pronoun,preverbal,LCA,Ben ve sen olay sırasında korkmuştun.,kork-
J,17,f,experimental,pronoun,preverbal,RA,Ben ve sen olay sırasında korkmuştuk.,kork-
K,17,g,experimental,proper,postverbal,FCA,Korkmuştu olay sırasında Uğur ve ben.,kork-
L,17,h,experimental,proper,postverbal,LCA,Korkmuştum olay sırasında Uğur ve ben.,kork-
A,17,i,experimental,proper,postverbal,RA,Korkmuştuk olay sırasında Uğur ve ben.,kork-
B,17,j,experimental,pronoun,postverbal,FCA,Korkmuştun olay sırasında sen ve ben.,kork-
C,17,k,experimental,pronoun,postverbal,LCA,Korkmuştum olay sırasında sen ve ben.,kork-
D,17,l,experimental,pronoun,postverbal,RA,Korkmuştuk olay sırasında sen ve ben.,kork-
F,18,a,experimental,proper,preverbal,FCA,Ben ve Ümit son toplantıda rahatlamıştım.,rahatla-
G,18,b,experimental,proper,preverbal,LCA,Ben ve Ümit son toplantıda rahatlamıştı.,rahatla-
H,18,c,experimental,proper,preverbal,RA,Ben ve Ümit son toplantıda rahatlamıştık.,rahatla-
I,18,d,experimental,pronoun,preverbal,FCA,Ben ve sen son toplantıda rahatlamıştım.,rahatla-
J,18,e,experimental,pronoun,preverbal,LCA,Ben ve sen son toplantıda rahatlamıştın.,rahatla-
K,18,f,experimental,pronoun,preverbal,RA,Ben ve sen son toplantıda rahatlamıştık.,rahatla-
L,18,g,experimental,proper,postverbal,FCA,Rahatlamıştı son toplantıda Ümit ve ben.,rahatla-
A,18,h,experimental,proper,postverbal,LCA,Rahatlamıştım son toplantıda Ümit ve ben.,rahatla-
B,18,i,experimental,proper,postverbal,RA,Rahatlamıştık son toplantıda Ümit ve ben.,rahatla-
C,18,j,experimental,pronoun,postverbal,FCA,Rahatlamıştın son toplantıda sen ve ben.,rahatla-
D,18,k,experimental,pronoun,postverbal,LCA,Rahatlamıştım son toplantıda sen ve ben.,rahatla-
E,18,l,experimental,pronoun,postverbal,RA,Rahatlamıştık son toplantıda sen ve ben.,rahatla-
G,19,a,experimental,proper,preverbal,FCA,Ben ve Leyla ödül törenine gelmiştim.,gel-
H,19,b,experimental,proper,preverbal,LCA,Ben ve Leyla ödül törenine gelmişti.,gel-
I,19,c,experimental,proper,preverbal,RA,Ben ve Leyla ödül törenine gelmiştik.,gel-
J,19,d,experimental,pronoun,preverbal,FCA,Ben ve sen ödül törenine gelmiştim.,gel-
K,19,e,experimental,pronoun,preverbal,LCA,Ben ve sen ödül törenine gelmiştin.,gel-
L,19,f,experimental,pronoun,preverbal,RA,Ben ve sen ödül törenine gelmiştik.,gel-
A,19,g,experimental,proper,postverbal,FCA,Gelmişti ödül törenine Leyla ve ben.,gel-
B,19,h,experimental,proper,postverbal,LCA,Gelmiştim ödül törenine Leyla ve ben.,gel-
C,19,i,experimental,proper,postverbal,RA,Gelmiştik ödül törenine Leyla ve ben.,gel-
D,19,j,experimental,pronoun,postverbal,FCA,Gelmiştin ödül törenine sen ve ben.,gel-
E,19,k,experimental,pronoun,postverbal,LCA,Gelmiştim ödül törenine sen ve ben.,gel-
F,19,l,experimental,pronoun,postverbal,RA,Gelmiştik ödül törenine sen ve ben.,gel-
H,20,a,experimental,proper,preverbal,FCA,Ben ve Didem son müsabakada gerildim.,geril-
I,20,b,experimental,proper,preverbal,LCA,Ben ve Didem son müsabakada gerildi.,geril-
J,20,c,experimental,proper,preverbal,RA,Ben ve Didem son müsabakada gerildik.,geril-
K,20,d,experimental,pronoun,preverbal,FCA,Ben ve sen son müsabakada gerildim.,geril-
L,20,e,experimental,pronoun,preverbal,LCA,Ben ve sen son müsabakada gerildin.,geril-
A,20,f,experimental,pronoun,preverbal,RA,Ben ve sen son müsabakada gerildik.,geril-
B,20,g,experimental,proper,postverbal,FCA,Gerildi son müsabakada Didem ve ben.,geril-
C,20,h,experimental,proper,postverbal,LCA,Gerildim son müsabakada Didem ve ben.,geril-
D,20,i,experimental,proper,postverbal,RA,Gerildik son müsabakada Didem ve ben.,geril-
E,20,j,experimental,pronoun,postverbal,FCA,Gerildin son müsabakada sen ve ben.,geril-
F,20,k,experimental,pronoun,postverbal,LCA,Gerildim son müsabakada sen ve ben.,geril-
G,20,l,experimental,pronoun,postverbal,RA,Gerildik son müsabakada sen ve ben.,geril-
I,21,a,experimental,proper,preverbal,FCA,Ben ve Derya çalışma alanında bekledim.,bekle-
J,21,b,experimental,proper,preverbal,LCA,Ben ve Derya çalışma alanında bekledi.,bekle-
K,21,c,experimental,proper,preverbal,RA,Ben ve Derya çalışma alanında bekledik.,bekle-
L,21,d,experimental,pronoun,preverbal,FCA,Ben ve sen çalışma alanında bekledim.,bekle-
A,21,e,experimental,pronoun,preverbal,LCA,Ben ve sen çalışma alanında bekledin.,bekle-
B,21,f,experimental,pronoun,preverbal,RA,Ben ve sen çalışma alanında bekledik.,bekle-
C,21,g,experimental,proper,postverbal,FCA,Bekledi çalışma alanında Derya ve ben.,bekle-
D,21,h,experimental,proper,postverbal,LCA,Bekledim çalışma alanında Derya ve ben.,bekle-
E,21,i,experimental,proper,postverbal,RA,Bekledik çalışma alanında Derya ve ben.,bekle-
F,21,j,experimental,pronoun,postverbal,FCA,Bekledin çalışma alanında sen ve ben.,bekle-
G,21,k,experimental,pronoun,postverbal,LCA,Bekledim çalışma alanında sen ve ben.,bekle-
H,21,l,experimental,pronoun,postverbal,RA,Bekledik çalışma alanında sen ve ben.,bekle-
J,22,a,experimental,proper,preverbal,FCA,Ben ve Ferdi son gün aramıştım.,açıkla-
K,22,b,experimental,proper,preverbal,LCA,Ben ve Ferdi son gün aramıştı.,açıkla-
L,22,c,experimental,proper,preverbal,RA,Ben ve Ferdi son gün aramıştık.,açıkla-
A,22,d,experimental,pronoun,preverbal,FCA,Ben ve sen son gün aramıştım.,açıkla-
B,22,e,experimental,pronoun,preverbal,LCA,Ben ve sen son gün aramıştın.,açıkla-
C,22,f,experimental,pronoun,preverbal,RA,Ben ve sen son gün aramıştık.,açıkla-
D,22,g,experimental,proper,postverbal,FCA,Aramıştı son gün Ferdi ve ben.,açıkla-
E,22,h,experimental,proper,postverbal,LCA,Aramıştım son gün Ferdi ve ben.,açıkla-
F,22,i,experimental,proper,postverbal,RA,Aramıştık son gün Ferdi ve ben.,açıkla-
G,22,j,experimental,pronoun,postverbal,FCA,Aramıştın son gün sen ve ben.,açıkla-
H,22,k,experimental,pronoun,postverbal,LCA,Aramıştım son gün sen ve ben.,açıkla-
I,22,l,experimental,pronoun,postverbal,RA,Aramıştık son gün sen ve ben.,açıkla-
K,23,a,experimental,proper,preverbal,FCA,Ben ve Hale anlamsız yere korkmuşum.,kork-
L,23,b,experimental,proper,preverbal,LCA,Ben ve Hale anlamsız yere korkmuş.,kork-
A,23,c,experimental,proper,preverbal,RA,Ben ve Hale anlamsız yere korkmuşuz.,kork-
B,23,d,experimental,pronoun,preverbal,FCA,Ben ve sen anlamsız yere korkmuşum.,kork-
C,23,e,experimental,pronoun,preverbal,LCA,Ben ve sen anlamsız yere korkmuşsun.,kork-
D,23,f,experimental,pronoun,preverbal,RA,Ben ve sen anlamsız yere korkmuşuz.,kork-
E,23,g,experimental,proper,postverbal,FCA,Korkmuş anlamsız yere Hale ve ben.,kork-
F,23,h,experimental,proper,postverbal,LCA,Korkmuşum anlamsız yere Hale ve ben.,kork-
G,23,i,experimental,proper,postverbal,RA,Korkmuşuz anlamsız yere Hale ve ben.,kork-
H,23,j,experimental,pronoun,postverbal,FCA,Korkmuşsun anlamsız yere sen ve ben.,kork-
I,23,k,experimental,pronoun,postverbal,LCA,Korkmuşum anlamsız yere sen ve ben.,kork-
J,23,l,experimental,pronoun,postverbal,RA,Korkmuşuz anlamsız yere sen ve ben.,kork-
L,24,a,experimental,proper,preverbal,FCA,Ben ve Oğuz son oyunda hüzünlendim.,hüzünlen-
A,24,b,experimental,proper,preverbal,LCA,Ben ve Oğuz son oyunda hüzünlendi.,hüzünlen-
B,24,c,experimental,proper,preverbal,RA,Ben ve Oğuz son oyunda hüzünlendik.,hüzünlen-
C,24,d,experimental,pronoun,preverbal,FCA,Ben ve sen son oyunda hüzünlendim.,hüzünlen-
